City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,75,AR,1627236302,100,-54.8,-68.3,33.46,21.85
Albany,94,US,1627236427,74,42.6001,-73.9662,81.27,6.62
Busselton,44,AU,1627236428,66,-33.65,115.3333,58.08,19.44
Naze,100,JP,1627236428,88,28.3667,129.4833,77.97,18.72
Gimli,18,CA,1627236428,33,50.6336,-96.9907,84.43,16.13
Carnarvon,0,AU,1627236429,72,-24.8667,113.6333,53.67,4.61
Ukiah,1,US,1627236429,32,39.1502,-123.2078,97.03,3.44
Provideniya,100,RU,1627236429,99,64.3833,-173.3,46.71,6.67
Rikitea,97,PF,1627236309,65,-23.1203,-134.9692,70.34,3.91
Hermanus,100,ZA,1627236429,55,-34.4187,19.2345,62.91,7.9
Barrow,90,US,1627236430,91,71.2906,-156.7887,42.82,13.8
Port Alfred,27,ZA,1627236430,49,-33.5906,26.891,61.03,11.43
Lagoa,100,PT,1627236431,82,39.05,-27.9833,69.49,12.8
Dongsheng,78,CN,1627236431,79,39.8161,109.9776,70.03,14.29
Batagay-Alyta,52,RU,1627236431,76,67.8006,130.4114,53.02,1.97
Basqal,54,AZ,1627236432,63,40.7552,48.391,69.46,4.72
Atuona,52,PF,1627236432,72,-9.8,-139.0333,77.38,23.67
Cape Town,100,ZA,1627236432,57,-33.9258,18.4232,63.12,6.49
Máncora,49,PE,1627236433,68,-4.1078,-81.0475,75.78,11.23
La Sarre,21,CA,1627236409,61,48.8002,-79.1996,73.74,7.78
Butaritari,18,KI,1627236433,76,3.0707,172.7902,81.95,10.31
Ojinaga,1,MX,1627236433,40,29.5667,-104.4167,94.57,0.0
Ribeira Grande,40,PT,1627236145,83,38.5167,-28.7,73.8,8.05
Avarua,75,CK,1627236142,94,-21.2078,-159.775,71.65,4.61
Cidreira,6,BR,1627236434,53,-30.1811,-50.2056,74.28,6.53
Coquimbo,0,CL,1627236434,55,-29.9533,-71.3436,60.53,8.05
Punta Arenas,86,CL,1627236141,63,-53.15,-70.9167,41.11,16.06
New Norfolk,74,AU,1627236434,69,-42.7826,147.0587,41.67,4.0
Seversk,93,RU,1627236434,93,56.6006,84.8864,72.09,4.16
Hirara,100,JP,1627236435,91,24.8,125.2833,83.41,12.84
Lishui,100,CN,1627236435,95,28.4604,119.9103,75.72,3.87
São Filipe,56,CV,1627236435,73,14.8961,-24.4956,74.25,7.7
Miandrivazo,84,MG,1627236436,42,-19.5167,45.4667,76.37,8.16
Hilo,90,US,1627236308,90,19.7297,-155.09,78.8,0.0
Upernavik,47,GL,1627236436,82,72.7868,-56.1549,41.0,11.56
Yangi Marg`ilon,1,UZ,1627236436,14,40.4272,71.7189,85.42,3.94
Unaí,0,BR,1627236437,26,-16.3575,-46.9061,82.18,6.33
Okha,96,RU,1627236269,84,53.5739,142.9478,67.77,6.98
Maxixe,58,MZ,1627236437,77,-23.8597,35.3472,63.23,9.48
Bluff,100,NZ,1627236437,82,-46.6,168.3333,47.8,5.91
Grindavik,75,IS,1627236438,87,63.8424,-22.4338,52.27,34.52
Kruisfontein,59,ZA,1627236438,45,-34.0033,24.7314,53.71,3.13
Barra de Tecoanapa,96,MX,1627236438,67,16.5167,-98.75,86.45,9.8
Jamestown,40,US,1627236324,62,42.097,-79.2353,84.09,5.01
Ostrovnoy,95,RU,1627236439,85,68.0531,39.5131,46.45,17.69
Souillac,1,MU,1627236439,60,-20.5167,57.5167,70.36,14.56
George Town,20,MY,1627236440,80,5.4112,100.3354,83.89,0.0
Nome,90,US,1627236440,87,64.5011,-165.4064,48.27,10.36
Tacoronte,20,ES,1627236440,56,28.4769,-16.4102,78.26,21.85
Yellowknife,9,CA,1627236440,51,62.456,-114.3525,60.3,4.0
Severo-Kuril'sk,82,RU,1627236441,97,50.6789,156.125,53.69,3.36
Constitución,50,CL,1627236441,88,-35.3333,-72.4167,53.44,10.25
Kokopo,57,PG,1627236441,85,-4.352,152.2633,76.6,3.94
Hervey Bay,78,AU,1627236442,60,-25.2986,152.8535,52.03,11.65
Fremont,1,US,1627236307,56,37.5483,-121.9886,83.88,5.99
Dingle,73,PH,1627236442,91,10.9995,122.6711,76.84,8.41
Hong Kong,20,HK,1627236181,87,22.2855,114.1577,86.32,4.0
Amuntai,4,ID,1627236442,92,-2.4177,115.2494,71.31,1.16
Puerto Ayora,38,EC,1627236442,83,-0.7393,-90.3518,75.54,7.0
Tezu,90,IN,1627236443,97,27.9167,96.1667,77.58,2.86
Chokurdakh,2,RU,1627236443,80,70.6333,147.9167,35.15,10.04
Lorengau,20,PG,1627236443,84,-2.0226,147.2712,78.53,9.28
Ozinki,20,RU,1627236444,43,51.1786,49.6769,66.67,8.21
Hasaki,0,JP,1627236444,79,35.7333,140.8333,75.6,14.23
Muros,46,ES,1627236444,72,42.7762,-9.0603,80.17,11.68
Cherskiy,27,RU,1627236445,72,68.75,161.3,41.97,7.54
Bethel,90,US,1627236256,85,41.3712,-73.414,79.2,1.99
Mar del Plata,82,AR,1627236225,46,-38.0023,-57.5575,57.09,8.99
Luganville,53,VU,1627236445,87,-15.5333,167.1667,76.71,1.32
Banda Aceh,92,ID,1627236445,83,5.5577,95.3222,80.19,6.04
Ripky,45,UA,1627236446,67,51.801,31.0838,68.14,2.53
Torbay,90,CA,1627236202,93,47.6666,-52.7314,61.29,10.36
Port Lincoln,41,AU,1627236446,86,-34.7333,135.8667,55.24,17.36
Beira,40,MZ,1627236446,73,-19.8436,34.8389,68.09,10.36
Mahibadhoo,100,MV,1627236447,77,3.7833,72.9667,82.15,19.98
Bredasdorp,100,ZA,1627236447,56,-34.5322,20.0403,51.28,4.61
Qaanaaq,88,GL,1627236447,70,77.484,-69.3632,40.23,5.48
Manzanillo,37,CU,1627236448,57,20.3433,-77.1167,89.08,7.92
Anadyr,99,RU,1627236448,95,64.75,177.4833,49.55,7.54
Fortuna,79,US,1627236448,87,40.5982,-124.1573,80.42,6.26
Rochegda,75,RU,1627236448,79,62.8,43.25,56.07,3.96
Castro,2,BR,1627236449,41,-24.7911,-50.0119,70.07,7.7
Pevek,100,RU,1627236449,90,69.7008,170.3133,34.86,9.48
Qrendi,0,MT,1627236449,54,35.8347,14.4583,83.1,5.75
Hamilton,75,US,1627236186,69,39.1834,-84.5333,90.88,1.01
San Policarpo,60,PH,1627236450,77,12.1791,125.5072,81.57,10.27
Aginskoye,68,RU,1627236450,83,51.1,114.53,57.27,7.38
Terra Santa,86,BR,1627236450,30,-2.1042,-56.4869,96.03,5.59
São João da Barra,0,BR,1627236251,60,-21.6403,-41.0511,77.09,14.61
Meulaboh,98,ID,1627236451,86,4.1363,96.1285,78.04,2.3
Dikson,54,RU,1627236451,89,73.5069,80.5464,38.34,13.18
Tuktoyaktuk,100,CA,1627236451,92,69.4541,-133.0374,45.05,21.79
Cabo San Lucas,1,MX,1627236303,58,22.8909,-109.9124,95.5,12.66
Fukuechō,100,JP,1627236452,82,32.6881,128.8419,79.54,20.62
Nouadhibou,17,MR,1627236452,93,20.931,-17.0347,68.58,21.68
Chui,61,UY,1627236452,79,-33.6971,-53.4616,68.05,10.36
Linhares,79,BR,1627236154,47,-19.3911,-40.0722,76.03,7.38
Nokaneng,0,BW,1627236453,40,-19.6667,22.2667,57.43,8.52
Te Anau,100,NZ,1627236431,95,-45.4167,167.7167,45.55,4.0
Lavrentiya,100,RU,1627236453,99,65.5833,-171.0,44.06,4.99
Roura,75,GF,1627236373,89,4.7263,-52.3274,82.96,0.0
Seoul,59,KR,1627236336,63,37.5683,126.9778,81.84,2.04
Srednekolymsk,100,RU,1627236453,76,67.45,153.6833,39.24,15.68
Løding,20,NO,1627236454,83,67.3,14.75,62.65,1.99
San Cristobal,100,VE,1627236218,49,7.7669,-72.225,82.47,5.28
Bongandanga,93,CD,1627236454,56,1.5,21.05,79.83,1.74
Skibbereen,24,IE,1627236454,80,51.55,-9.2667,73.2,0.96
Tsimmerbude,64,RU,1627236455,70,54.675,20.1347,77.05,9.98
Grand-Santi,56,GF,1627236455,61,4.25,-54.3833,85.87,4.5
Klaksvík,100,FO,1627236167,96,62.2266,-6.589,52.72,12.55
Bridgwater,91,GB,1627236455,72,51.1284,-3.0036,73.62,3.0
Pacific Grove,20,US,1627236456,84,36.6177,-121.9166,76.1,1.99
Arrondissement de Tarbes,90,FR,1627236456,82,43.25,0.1667,74.25,6.91
Saint Anthony,1,US,1627236456,29,45.0205,-93.218,91.78,4.0
Yar-Sale,56,RU,1627236456,77,66.8333,70.8333,49.73,19.24
Saint-Philippe,37,RE,1627236457,77,-21.3585,55.7679,69.39,11.39
Mackay,3,AU,1627236457,50,-21.15,149.2,58.73,5.84
Lompoc,75,US,1627236412,74,34.6391,-120.4579,78.01,1.99
Kumul,0,CN,1627236457,19,42.8,93.45,88.23,11.65
Korla,0,CN,1627236458,17,41.7597,86.1469,88.99,12.37
Alugan,61,PH,1627236458,77,12.2188,125.4808,81.45,10.27
Ayan,97,RU,1627236458,96,56.45,138.1667,58.42,3.02
Sinnamary,99,GF,1627236459,79,5.3833,-52.95,79.88,3.22
Malartic,17,CA,1627236459,79,48.1335,-78.1328,73.02,9.37
Hofn,97,IS,1627236459,88,64.2539,-15.2082,52.14,15.17
Kaitangata,100,NZ,1627236459,62,-46.2817,169.8464,47.93,4.85
Khatanga,54,RU,1627236460,83,71.9667,102.5,50.34,7.25
Tuatapere,100,NZ,1627236460,90,-46.1333,167.6833,47.82,4.7
Oranjemund,100,NA,1627236460,30,-28.55,16.4333,64.9,3.22
Mount Gambier,90,AU,1627236461,93,-37.8333,140.7667,51.71,16.11
Fairbanks,90,US,1627236370,69,64.8378,-147.7164,61.09,1.01
Kattivākkam,75,IN,1627236461,70,13.2167,80.3167,82.49,12.93
Saint-François,0,FR,1627236461,64,46.4154,3.9054,75.18,5.75
Mossamedes,0,AO,1627236462,67,-15.1961,12.1522,68.05,3.8
Longyearbyen,75,SJ,1627236462,87,78.2186,15.6401,44.44,10.36
Bonavista,45,CA,1627236186,82,48.6499,-53.1147,60.12,7.54
Kavaratti,100,IN,1627236462,77,10.5669,72.642,81.55,22.39
Gao,34,ML,1627236463,32,16.6362,1.637,96.69,8.23
Vaini,20,TO,1627236463,100,-21.2,-175.2,66.36,0.0
Lebu,89,CL,1627236463,89,-37.6167,-73.65,51.17,4.5
Novyy Urgal,100,RU,1627236463,95,51.0736,132.5642,64.92,2.59
Hithadhoo,85,MV,1627236464,74,-0.6,73.0833,80.87,3.24
Road Town,40,VG,1627236379,79,18.4167,-64.6167,87.84,8.05
Mataura,100,NZ,1627236464,88,-46.1927,168.8643,47.48,4.59
Port Elizabeth,44,ZA,1627236427,51,-33.918,25.5701,58.78,4.97
Saskylakh,40,RU,1627236465,82,71.9167,114.0833,52.66,7.96
San Jose,40,US,1627236387,50,37.3394,-121.895,83.77,3.44
Xingyi,100,CN,1627236465,95,24.1877,102.817,59.32,1.95
Husavik,100,IS,1627236465,67,66.0449,-17.3389,56.59,4.14
Zyryanka,100,RU,1627236466,70,65.75,150.85,48.6,15.46
Thompson,82,CA,1627236466,25,55.7435,-97.8558,64.81,10.67
Hobart,67,AU,1627236466,76,-42.8794,147.3294,42.03,1.01
Puerto Lumbreras,20,ES,1627236467,49,37.5633,-1.8097,93.99,7.09
Kerman,1,IR,1627236467,8,30.2832,57.0788,84.34,17.13
Medeiros Neto,57,BR,1627236453,56,-17.3739,-40.2206,75.49,11.54
Thinadhoo,56,MV,1627236467,68,0.5333,72.9333,82.45,2.08
Tasiilaq,66,GL,1627236468,87,65.6145,-37.6368,46.56,5.1
Camaná,55,PE,1627236468,76,-16.6228,-72.7111,63.73,9.04
Vikhorevka,64,RU,1627236468,68,56.1201,101.1636,69.39,2.71
Pridonskoy,0,RU,1627236468,52,51.6841,39.0727,68.56,4.47
Airai,40,TL,1627236469,51,-8.9266,125.4092,55.54,3.06
Picos,2,BR,1627236469,20,-7.0769,-41.4669,94.59,10.38
Arraial do Cabo,0,BR,1627236469,69,-22.9661,-42.0278,75.06,23.02
Ossora,81,RU,1627236470,96,59.2353,163.0719,55.78,3.85
Bambous Virieux,3,MU,1627236470,64,-20.3428,57.7575,70.21,14.2
Omsukchan,100,RU,1627236470,98,62.5333,155.8,49.14,7.09
Saint Paul Harbor,70,US,1627236471,91,57.79,-152.4072,50.36,1.28
Oga,79,IT,1627236471,80,46.4631,10.347,61.65,5.32
Alofi,17,NU,1627236471,77,-19.0595,-169.9187,77.43,4.79
Kawalu,7,ID,1627236410,97,-7.3817,108.2082,66.78,0.94
Laguna,1,US,1627236272,40,38.421,-121.4238,102.43,4.61
Coyhaique,75,CL,1627236472,53,-45.5752,-72.0662,45.21,5.75
Champerico,85,GT,1627236472,72,14.3,-91.9167,92.77,6.53
Cockburn Town,9,TC,1627236472,80,21.4612,-71.1419,82.65,11.41
Geraldton,0,AU,1627236473,93,-28.7667,114.6,48.61,12.66
Maceió,75,BR,1627236322,83,-9.6658,-35.7353,76.44,10.36
Kushiro,28,JP,1627236473,96,42.975,144.3747,61.03,0.29
Marsá Maţrūḩ,0,EG,1627236473,59,31.3525,27.2453,78.6,7.52
Yarovoy,67,RU,1627236474,51,52.9273,78.58,74.8,5.39
Polyarny,98,RU,1627236474,78,69.1989,33.4478,54.07,16.44
Sterling,75,US,1627236216,59,39.0062,-77.4286,91.69,8.01
Padre Bernardo,0,BR,1627236287,21,-15.35,-48.5,85.15,6.55
Kinlochleven,13,GB,1627236474,73,56.7115,-4.9661,77.18,3.56
Meadow Lake,59,US,1627236475,47,34.8014,-106.5436,83.84,5.84
Rawson,18,AR,1627236475,33,-43.3002,-65.1023,52.41,19.51
Gharo,87,PK,1627236475,78,24.7424,67.5856,84.42,19.62
Grand Gaube,0,MU,1627236476,60,-20.0064,57.6608,70.38,5.99
San Patricio,4,US,1627236476,44,28.017,-97.5169,94.01,10.49
Wawa,90,NG,1627236476,73,9.9022,4.4192,79.21,6.42
Jaru,8,BR,1627236476,23,-10.4389,-62.4664,99.0,5.26
Buala,69,SB,1627236477,84,-8.145,159.5921,79.21,7.09
Osa,89,RU,1627236477,61,57.2829,55.4567,54.57,1.72
Kargasok,32,RU,1627236477,82,59.0556,80.8572,63.37,4.14
Tyrma,100,RU,1627236478,96,50.0833,132.1667,66.74,0.83
Shelabolikha,25,RU,1627236478,68,53.4131,82.6167,78.26,3.6
Marawi,62,PH,1627236478,88,7.9986,124.2928,70.65,4.43
Camacha,40,PT,1627236479,83,33.0833,-16.3333,74.16,12.66
Taoudenni,16,ML,1627236479,6,22.6783,-3.9836,113.99,10.8
Cowansville,100,CA,1627236479,88,45.2001,-72.7491,81.75,9.51
Wanning,86,CN,1627236480,90,18.8003,110.3967,79.72,11.27
Umm Kaddadah,61,SD,1627236480,39,13.6017,26.6876,90.72,15.46
Mahébourg,2,MU,1627236480,63,-20.4081,57.7,70.25,14.25
Tautira,2,PF,1627236206,67,-17.7333,-149.15,75.22,10.07
Saurimo,2,AO,1627236481,34,-9.6608,20.3916,69.76,5.23
Nanortalik,100,GL,1627236481,74,60.1432,-45.2371,45.28,12.97
Teknāf,100,BD,1627236481,91,20.8624,92.3058,80.2,5.95
São Miguel do Araguaia,1,BR,1627236481,22,-13.275,-50.1628,92.1,6.87
Ponta do Sol,6,PT,1627236482,76,32.6667,-17.1,78.71,5.08
Kapaa,75,US,1627236482,82,22.0752,-159.319,80.92,4.0
Guanare,100,VE,1627236482,66,9.0418,-69.7421,85.35,5.44
Viranşehir,0,TR,1627236483,23,37.2353,39.7631,91.92,7.31
Chaozhou,30,CN,1627236483,85,23.6651,116.6379,80.53,4.0
Lüderitz,74,NA,1627236207,25,-26.6481,15.1594,66.45,4.34
Touros,14,BR,1627236484,60,-5.1989,-35.4608,85.1,18.21
Hermiston,1,US,1627236377,35,45.8404,-119.2895,90.23,5.75
San Rafael,0,AR,1627236484,28,-34.6177,-68.3301,56.86,6.98
Luba,58,GQ,1627236484,81,3.4568,8.5547,77.7,7.87
Kidal,71,ML,1627236485,51,18.4411,1.4078,82.33,24.43
Shahdad Kot,20,PK,1627236485,28,27.8477,67.9055,105.58,14.58
Talnakh,100,RU,1627236485,94,69.4865,88.3972,56.3,6.33
Ust-Nera,100,RU,1627236486,97,64.5667,143.2,50.41,7.43
Clyde River,90,CA,1627236486,100,70.4692,-68.5914,35.83,12.66
Deputatsky,9,RU,1627236486,81,69.3,139.9,43.09,3.04
Russell,20,US,1627236487,59,32.3502,-85.1999,92.91,3.44
Kholodnyy,100,RU,1627236487,98,62.7167,147.95,54.37,3.24
Minot,1,US,1627236289,23,48.2325,-101.2963,91.62,4.61
Beringovskiy,98,RU,1627236487,91,63.05,179.3167,51.33,1.83
Noumea,70,NC,1627236488,99,-22.2763,166.4572,69.01,7.34
Snezhnogorsk,95,RU,1627236488,78,69.1933,33.2531,53.38,14.5
Luanda,3,AO,1627236199,83,-8.8368,13.2343,71.19,10.4
Derzhavīnsk,1,KZ,1627236488,50,51.1,66.3167,68.83,7.4
Carmelo,94,UY,1627236488,88,-33.9892,-58.2856,60.17,7.74
Puerto del Rosario,0,ES,1627236489,73,28.5004,-13.8627,78.48,14.97
Bilibino,12,RU,1627236489,75,68.0546,166.4372,44.28,4.94
Yangambi,74,CD,1627236489,60,0.8102,24.4336,79.11,3.15
Sayyan,91,YE,1627236490,68,15.1718,44.3244,64.08,2.24
Fara in Sabina,100,IT,1627236490,32,42.2089,12.7292,83.88,4.76
Avera,93,US,1627236490,50,33.194,-82.5271,90.91,3.49
Baghdad,0,IQ,1627236465,21,33.3406,44.4009,102.11,8.05
Tornio,87,FI,1627236491,79,65.8481,24.1466,64.42,5.08
Flin Flon,90,CA,1627236491,100,54.7682,-101.865,58.84,4.61
Muhafazat Lahij,95,YE,1627236344,73,13.1667,44.5833,79.25,1.52
Pirovskoye,0,RU,1627236491,72,57.6267,92.2658,64.63,5.55
Kalmunai,100,LK,1627236492,74,7.4167,81.8167,81.82,8.25
Goderich,0,CA,1627236257,76,43.7501,-81.7165,82.04,10.51
Ascension,1,US,1627236492,59,30.2169,-90.9001,96.8,5.75
Khandyga,76,RU,1627236492,96,62.6667,135.6,53.56,1.43
Oistins,75,BB,1627236475,70,13.0667,-59.5333,87.89,17.27
Henties Bay,1,NA,1627236493,34,-22.116,14.2845,70.36,9.31
Ust'-Koksa,23,RU,1627236493,88,50.2696,85.6108,57.74,0.6
Port Blair,100,IN,1627236493,86,11.6667,92.75,82.22,17.25
Sitka,75,US,1627236493,82,57.0531,-135.33,57.09,3.44
Necochea,100,AR,1627236494,84,-38.5473,-58.7368,52.03,17.4
Cururupu,85,BR,1627236494,64,-1.8283,-44.8683,83.8,4.18
Broome,20,US,1627236495,62,42.2506,-75.833,85.69,1.99
Alice Springs,84,AU,1627236495,37,-23.7,133.8833,53.15,3.44
Shizunai-furukawachō,36,JP,1627236495,93,42.3339,142.3669,67.57,5.82
Faanui,2,PF,1627236495,66,-16.4833,-151.75,77.77,13.11
Marsberg,33,DE,1627236496,77,51.4617,8.8495,77.81,3.02
Ust-Tsilma,99,RU,1627236496,94,65.441,52.1498,45.81,6.87
Muriaé,0,BR,1627236432,35,-21.1306,-42.3664,85.42,5.77
Troitsko-Pechorsk,79,RU,1627236496,84,62.7084,56.1964,47.26,5.17
Verkhnyaya Inta,100,RU,1627236497,87,65.9811,60.3094,48.7,17.49
Domanivka,9,UA,1627236497,42,47.6319,30.9885,75.9,5.19
Launceston,75,AU,1627236497,90,-41.45,147.1667,44.8,10.36
Norman Wells,88,CA,1627236498,44,65.282,-126.8329,66.45,2.82
Ilulissat,75,GL,1627236498,35,69.2167,-51.1,55.42,13.8
Nassau,90,US,1627236240,76,40.7507,-73.5829,85.32,5.01
Erzin,0,TR,1627236498,84,36.9559,36.2,82.92,3.87
Vanavara,37,RU,1627236499,71,60.34,102.2797,63.46,3.78
Kirakira,75,SB,1627236499,84,-10.4544,161.9205,78.28,6.51
Vanino,94,RU,1627236499,90,49.0869,140.2543,68.95,1.95
Sistranda,55,NO,1627236500,87,63.7256,8.834,58.96,9.13
Novosheshminsk,5,RU,1627236500,52,55.0651,51.2338,57.22,2.95
San Lorenzo,0,PY,1627236500,37,-25.3333,-57.5333,88.74,13.8
Tuy Hoa,35,VN,1627236354,65,13.0833,109.3,81.63,16.55
Olinda,75,BR,1627236500,78,-8.0089,-34.8553,74.93,12.66
Bintulu,95,MY,1627236501,86,3.1667,113.0333,80.64,2.08
Lavaca,1,US,1627236501,61,28.615,-96.6261,94.28,8.05
Iwanai,20,JP,1627236501,97,42.9744,140.5089,68.36,5.86
Hadejia,99,NG,1627236502,57,12.4498,10.0444,86.0,8.52
Portland,0,US,1627235761,59,45.5234,-122.6762,80.71,1.99
Odda,75,NO,1627236502,60,60.0691,6.5457,72.55,5.01
Walvis Bay,5,NA,1627236502,28,-22.9575,14.5053,72.81,9.1
Makat,1,KZ,1627236503,24,47.6469,53.3463,85.66,14.79
Caravelas,59,BR,1627236503,65,-17.7125,-39.2481,74.16,7.49
Nishihara,75,JP,1627236503,94,26.1842,127.7558,80.26,12.66
